 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_3_reg[9]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_3_reg[10]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[11]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[12]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[13]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[14]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[15]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[16]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[17]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[18]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[19]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[20]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[21]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[22]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[23]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[24]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[25]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[26]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[27]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[28]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[29]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[30]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[31]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[32]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[33]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[34]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[35]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[36]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[37]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[38]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[39]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[40]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[41]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[42]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[43]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[44]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_3_reg[45]/CLK (DFFPOSX1)       0.00 r        infinity     infinity

1
 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
pipe_2_reg[19]/D (DFFPOSX1)         1.61 f            1.94         0.33
pipe_2_reg[18]/D (DFFPOSX1)         1.56 f            1.94         0.38
pipe_2_reg[20]/D (DFFPOSX1)         1.50 f            1.94         0.45
pipe_2_reg[17]/D (DFFPOSX1)         1.45 f            1.94         0.49
pipe_2_reg[49]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[47]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[51]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[53]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[48]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[50]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[52]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[54]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[46]/D (DFFPOSX1)         1.38 f            1.94         0.56
pipe_2_reg[21]/D (DFFPOSX1)         1.25 f            1.94         0.69
pipe_2_reg[38]/D (DFFPOSX1)         1.22 f            1.94         0.72
pipe_2_reg[33]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[31]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[35]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[37]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[32]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[34]/D (DFFPOSX1)         1.21 f            1.94         0.74
pipe_2_reg[36]/D (DFFPOSX1)         1.21 f            1.94         0.74
